doc_id,system,device,area,alarm_code,alarm_name,severity,tag,trigger,possible_causes,actions,reset_condition,source_doc,section_id,chunk_id,table_id,row_id,image_id
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A001,排气压力高,中,K401_DISP,连续 10 s > 0.82 MPa,管网用气量突然降低；卸载阀动作迟滞；压力传感器零点漂移；出口止回阀回座不良,检查加载/卸载状态是否正确；确认下游储气罐压力和安全阀状态；切换至手动卸载观察压力下降；安排仪表校验压力变送器,压力低于 0.76 MPa 后自动复位,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-001,DOC-K401-TALARM,DOC-K401-TALARM-R001,IMG-DOC-K401-PRESS
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A002,排气温度高,高,K401_OUTT,连续 30 s > 100 ℃,冷却器结垢或风扇故障；润滑油油位低；环境温度过高且通风差；温度探头贴合不良或老化,检查冷却风扇和冷却器进出口温差；确认油位和油品颜色；降低加载率并观察温度趋势；超过 110℃ 立即停机保护,排气温度 < 88℃ 且冷却系统正常,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-002,DOC-K401-TALARM,DOC-K401-TALARM-R002,IMG-DOC-K401-TEMP
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A003,油分离器压差高,中,K401_OILDP,连续 5 min > 75 kPa,油分芯堵塞；润滑油劣化形成胶质；回油管堵塞；压差取压口堵塞,记录压差趋势并降低负荷；检查油分芯更换周期；确认回油管温度和流通状态；计划停机更换油分芯,压差 < 55 kPa，且油耗恢复正常,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-003,DOC-K401-TALARM,DOC-K401-TALARM-R003,IMG-DOC-K401-OILDP
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A004,机体振动高,高,K401_VIB,连续 30 s > 6.0 mm/s,主机轴承磨损；联轴器弹性体损坏；地脚螺栓松动；油温高导致润滑不足,检查是否伴随排气温度高；现场听诊确认异响位置；采集频谱区分转频与轴承高频；必要时停机切备用机,振动 < 4.5 mm/s 且无异常声,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-004,DOC-K401-TALARM,DOC-K401-TALARM-R004,IMG-DOC-K401-VIB
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A005,进气过滤器压差高,低,K401_AIRDP,连续 10 min > 1.8 kPa,滤芯积尘严重；进气口附近有施工扬尘；压差管积水；滤芯安装方向错误,检查进气滤芯污染程度；临时降低加载率避免负压过大；吹扫压差管并核对读数；更换滤芯后记录压差基线,压差 < 1.0 kPa,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-005,DOC-K401-TALARM,DOC-K401-TALARM-R005,IMG-DOC-K401-FILTER
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A006,主电机过载,高,K401_MCUR,连续 15 s > 额定 115%,排气压力偏高导致负荷过大；电源电压偏低；轴承或主机摩擦阻力增大；电机保护参数设置不匹配,核对管网压力和加载阀状态；检查三相电压平衡度；短时卸载验证电流是否下降；保护跳闸后禁止连续强启,电流回到额定 95% 以下并确认无机械卡涩,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-006,DOC-K401-TALARM,DOC-K401-TALARM-R006,IMG-DOC-K401-MCUR
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A007,干燥机出口露点高,中,K401_DEWP,连续 15 min > -10 ℃,再生气量不足；吸附塔切换阀泄漏；前置排水不充分导致液态水进入；露点仪探头污染,检查干燥机运行周期和切塔动作；确认前后置过滤器排水正常；临时旁通前不得直接供关键仪表；校验露点仪并清洁探头,露点 < -20℃ 且稳定 30 min,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-007,DOC-K401-TALARM,DOC-K401-TALARM-R007,IMG-DOC-K401-DEW
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A008,自动排凝故障,中,K401_DRAIN,排凝阀动作后液位仍高,电子排水阀堵塞；排水管冻结或背压高；液位开关粘连；过滤器含水量异常增大,手动排凝并观察排水量；拆检排水阀滤网；检查排水管伴热和背压；排凝恢复前加强巡检频次,排凝阀动作后液位下降至正常,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-008,DOC-K401-TALARM,DOC-K401-TALARM-R008,IMG-DOC-K401-DRAIN
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A009,紧急停车按钮动作,高高,K401_ESTOP,急停回路断开,现场急停按钮被按下；急停线路断线；安全继电器故障；检修隔离未解除,确认人员安全和现场原因；禁止远程复位代替现场确认；复位急停并检查安全继电器状态；记录急停原因和恢复人,现场确认安全，急停复位，安全回路闭合,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-009,DOC-K401-TALARM,DOC-K401-TALARM-R009,IMG-DOC-K401-ESTOP
DOC-K401,仪表空气压缩系统,K401A/B 螺杆空气压缩机,公用工程空压站,K401-A010,加载/卸载切换失败,中,K401_LOAD,命令发出后 20 s 状态未变化,加载电磁阀失电或卡涩；卸载阀气源不足；控制器输出故障；状态反馈开关失准,检查电磁阀线圈和气源压力；手动动作加载阀确认机械灵活性；核对 PLC 输出和反馈点；必要时切备用机供气,加载/卸载动作试验连续 3 次正常,DOC-K401_air_compressor_alarm_manual.docx,DOC-K401-SEC-04,DOC-K401-CH-010,DOC-K401-TALARM,DOC-K401-TALARM-R010,IMG-DOC-K401-LOAD
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A001,夹套温度高,高,R101_JT,夹套温度 > 150℃ 持续 20 s,蒸汽调节阀泄漏或卡开；温控 PID 输出过大；夹套温度传感器偏高；阶段切换后蒸汽未及时关闭,立即关闭蒸汽切断阀并确认反馈；打开冷却水小流量旁路降低夹套温度；检查 PID 手/自动状态和输出限幅；记录阶段号和投料状态,夹套温度 < 120℃ 且蒸汽阀关闭反馈正常,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-001,DOC-R101-TALARM,DOC-R101-TALARM-R001,IMG-DOC-R101-JACKET
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A002,釜温偏差大,中,R101_TDEV,|釜温-设定值| > 8℃ 持续 2 min,PID 参数不适合当前批次；冷却水或蒸汽能力不足；投料温度偏离配方；温度探头插入深度异常,确认当前配方阶段和设定值；检查加热/冷却执行器开度；暂停非关键投料并观察趋势；必要时切换为手动限幅控制,偏差 < 3℃ 且趋势收敛,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-002,DOC-R101-TALARM,DOC-R101-TALARM-R002,IMG-DOC-R101-TDEV
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A003,搅拌器跳停,高高,R101_AGI,运行命令存在但反馈为 0 超过 5 s,变频器故障；机械密封抱死或搅拌轴卡涩；电机过载保护动作；检修联锁未解除,立即停止投料并进入批次保持；确认釜内温升速率是否异常；通知现场检查变频器故障码；若反应放热，启动紧急冷却并准备泄压预案,搅拌恢复并低速试运行无异常电流,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-003,DOC-R101-TALARM,DOC-R101-TALARM-R003,IMG-DOC-R101-AGI
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A004,冷却水流量低,高,R101_CWF,冷却水流量 < 15 m3/h 持续 30 s,冷却水泵出口压力低；夹套入口阀未打开；过滤器堵塞；流量计气泡或信号故障,检查冷却水总管压力和阀位；打开备用冷却水支路；暂停升温和放热投料；与公用工程确认是否全厂波动,流量 > 20 m3/h 且阀位响应正常,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-004,DOC-R101-TALARM,DOC-R101-TALARM-R004,IMG-DOC-R101-CWF
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A005,蒸汽阀疑似卡滞,高,R101_STV,阀门命令变化后反馈偏差 > 15% 持续 30 s,执行机构气源不足；阀杆卡涩；定位器故障；阀位反馈电位器漂移,切至手动并小幅阶跃测试响应；关闭上游手阀防止继续加热；联系仪表检查定位器；禁止在未知阀位下继续升温,阀门开度反馈与命令偏差 < 5%,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-005,DOC-R101-TALARM,DOC-R101-TALARM-R005,IMG-DOC-R101-STV
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A006,釜温传感器漂移,中,R101_T,双支温度差 > 4℃ 持续 5 min,主测温元件老化；接线端子松动；传感器套管积垢导致响应慢；一支传感器插入深度变化,比对就地温度计和历史趋势；切换到可信温度通道参与控制；降低 PID 灵敏度防止误动作；批次结束后安排校验,双支差值 < 1.5℃ 或确认单点隔离,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-006,DOC-R101-TALARM,DOC-R101-TALARM-R006,IMG-DOC-R101-SENSOR
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A007,放热速率高,高高,R101_DTD,dT/dt > 1.5℃/min 持续 2 min,投料过快；搅拌效率下降；冷却能力不足；反应诱导期结束后快速放热,立即停止投料并启动最大冷却；确认搅拌和冷却水流量；通知班长进入异常批次评审；严禁继续升温或追加催化剂,dT/dt < 0.2℃/min 且釜温低于阶段上限 5℃,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-007,DOC-R101-TALARM,DOC-R101-TALARM-R007,IMG-DOC-R101-EXO
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A008,投料联锁动作,高,R101_FEED_ILK,任一投料前置条件不满足,釜温未进入允许窗口；搅拌未运行；氮封压力低；阀门状态反馈异常,查看联锁条件矩阵定位未满足项；不要强制旁路投料联锁；完成条件恢复后重新申请投料；记录联锁发生时的批次号,所有前置条件满足并由班长确认,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-008,DOC-R101-TALARM,DOC-R101-TALARM-R008,IMG-DOC-R101-FEED
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A009,氮封压力低,中,R101_N2P,氮封压力 < 2 kPa 持续 60 s,氮气总管压力低；补氮阀关闭或卡涩；呼吸阀泄漏；釜内冷却造成压力下降,确认氮气总管压力；打开备用补氮支路；检查呼吸阀和放空阀状态；易氧化物料批次暂停开盖操作,氮封压力恢复到 4 ~ 6 kPa,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-009,DOC-R101-TALARM,DOC-R101-TALARM-R009,IMG-DOC-R101-N2
DOC-R101,间歇反应温度控制系统,R101 夹套反应釜,合成车间一线,R101-A010,批次保持要求,中,R101_HOLD,异常条件触发后进入 HOLD,关键参数超限等待确认；操作员手动保持；上游投料异常；质量取样结果未放行,保持当前阀位或转入安全阀位；冻结配方阶段并禁止自动跳步；填写批次偏差记录；由工艺工程师确认恢复路径,偏差记录关闭且恢复条件满足,DOC-R101_reactor_temperature_fault_manual.docx,DOC-R101-SEC-04,DOC-R101-CH-010,DOC-R101-TALARM,DOC-R101-TALARM-R010,IMG-DOC-R101-HOLD
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A001,皮带速度低,中,CV302_SPD,速度 < 0.65 m/s 持续 15 s,皮带打滑；负载过重；变频器限频；滚筒包胶磨损,检查皮带张紧和滚筒积料；降低给料量；查看 VFD 输出频率；必要时停机清理,速度恢复到 0.8 m/s 以上,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-001,DOC-CV302-TALARM,DOC-CV302-TALARM-R001,SPD
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A002,变频器过流,高,CV302_VFDI,电流 > 额定 130% 持续 3 s,下游堵料导致负载升高；制动器未释放；电机轴承卡涩；加速时间过短,立即停止上游给料；检查制动器反馈；查看 VFD 故障代码；复位前盘车确认无卡阻,故障复位后空载运行电流正常,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-002,DOC-CV302-TALARM,DOC-CV302-TALARM-R002,VFD
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A003,皮带跑偏,高,CV302_ALIGN,任一跑偏开关动作超过 5 s,落料点偏斜；托辊损坏；皮带接头不正；张紧装置两侧不均,停止给料但保留低速运行观察；调整导料槽和落料点；检查托辊转动；严重跑偏时立即停机,跑偏开关复位且空载试车正常,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-003,DOC-CV302-TALARM,DOC-CV302-TALARM-R003,ALIGN
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A004,电机轴承温度高,中,CV302_MBT,温度 > 85℃ 持续 60 s,润滑不足；粉尘进入轴承；轴承游隙异常；环境散热差,红外测温复核；检查润滑周期；降低负载观察趋势；准备检修更换轴承,温度低于 75℃,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-004,DOC-CV302-TALARM,DOC-CV302-TALARM-R004,MBT
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A005,拉绳急停动作,高高,CV302_PULL,拉绳开关回路断开,现场人员拉停；拉绳松弛；开关进水；检修未复位,确认人员安全；沿线检查所有拉绳开关；复位前通知中控；记录动作位置,所有拉绳开关复位并现场确认,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-005,DOC-CV302-TALARM,DOC-CV302-TALARM-R005,PULL
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A006,溜槽堵料,高,CV302_CHUTE,堵料开关动作超过 10 s,下游皮带停机；物料湿黏；挡板开度异常；除尘负压不足,立即停止上游给料；确认下游设备状态；清理堵料时执行挂牌；恢复后低速试运行,堵料开关复位且下游畅通,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-006,DOC-CV302-TALARM,DOC-CV302-TALARM-R006,CHUTE
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A007,零速开关故障,中,CV302_ZSS,运行命令存在但零速反馈为 0,探头间隙过大；测速片脱落；传感器供电异常；接线松动,核对实际皮带是否转动；检查传感器指示灯；调整间隙；必要时临时使用编码器速度判断,零速反馈稳定,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-007,DOC-CV302-TALARM,DOC-CV302-TALARM-R007,ZSS
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A008,编码器信号丢失,中,CV302_ENC,编码器脉冲 5 s 无变化,编码器联轴器松动；线缆断线；粉尘污染码盘；高速计数模块故障,检查编码器机械连接；测量脉冲输入；清洁编码器；切换备用速度反馈,脉冲恢复且速度显示连续,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-008,DOC-CV302-TALARM,DOC-CV302-TALARM-R008,ENC
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A009,制动器释放失败,高,CV302_BRK,启动命令后制动器未释放,制动线圈损坏；制动器间隙过小；整流模块故障；反馈开关卡住,禁止反复强启；测量制动线圈电压；手动释放检查机械卡涩；检修后重新校验反馈,释放反馈正常,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-009,DOC-CV302-TALARM,DOC-CV302-TALARM-R009,BRK
DOC-CV302,包装输送系统,CV302 变频皮带输送机,包装车间三层输送线,CV302-A010,除尘联锁未满足,中,CV302_DUST,除尘风机未运行或压差异常,除尘风机跳停；滤袋堵塞；压差开关故障；联锁旁路未关闭,先启动除尘系统；确认压差在允许范围；禁止无除尘长期输送粉料；检查联锁旁路状态,除尘运行且压差正常,DOC-CV302_conveyor_vfd_alarm_manual.docx,DOC-CV302-SEC-04,DOC-CV302-CH-010,DOC-CV302-TALARM,DOC-CV302-TALARM-R010,DUST
DOC-CW501,循环冷却水系统,CW501A/B 冷却水泵与 CT501 冷却塔,公用工程循环水站,CW501-A001,供水压力低,高,CW501_SP,压力 < 0.28 MPa 持续 20 s,运行泵跳停；旁通阀误开；塔盆液位低导致汽蚀；总管泄漏,确认运行泵状态；启动备用泵；检查旁通阀和补水阀；通知主要用户降低负荷,压力 > 0.34 MPa,DOC-CW501_cooling_water_alarm_manual.docx,DOC-CW501-SEC-04,DOC-CW501-CH-001,DOC-CW501-TALARM,DOC-CW501-TALARM-R001,SP
DOC-CW501,循环冷却水系统,CW501A/B 冷却水泵与 CT501 冷却塔,公用工程循环水站,CW501-A002,回水温度高,中,CW501_RT,回水温度 > 38℃ 持续 10 min,冷却塔风机停运；环境湿球温度高；换热器结垢；循环量不足,增加风机台数；确认塔填料布水均匀；检查供水流量；通知工艺侧评估降负荷,回水温度 < 35℃,DOC-CW501_cooling_water_alarm_manual.docx,DOC-CW501-SEC-04,DOC-CW501-CH-002,DOC-CW501-TALARM,DOC-CW501-TALARM-R002,RT
DOC-CW501,循环冷却水系统,CW501A/B 冷却水泵与 CT501 冷却塔,公用工程循环水站,CW501-A003,冷却塔风机跳停,高,CT501_FAN,运行命令存在但反馈为 0,电机保护动作；振动开关动作；皮带断裂；变频器故障,查看电气故障码；检查风机振动和皮带；切换备用风机；高温天气优先恢复冷却能力,风机运行反馈正常,DOC-CW501_cooling_water_alarm_manual.docx,DOC-CW501-SEC-04,DOC-CW501-CH-003,DOC-CW501-TALARM,DOC-CW501-TALARM-R003,FAN
DOC-CW501,循环冷却水系统,CW501A/B 冷却水泵与 CT501 冷却塔,公用工程循环水站,CW501-A004,冷却水泵振动高,高,CW501_VIB,振动 > 6.3 mm/s 持续 30 s,汽蚀；轴承损伤；叶轮不平衡；基础松动,检查塔盆液位和吸入口压力；现场听诊；采集频谱；超限严重时切泵,振动 < 4.5 mm/s,DOC-CW501_cooling_water_alarm_manual.docx,DOC-CW501-SEC-04,DOC-CW501-CH-004,DOC-CW501-TALARM,DOC-CW501-TALARM-R004,VIB
DOC-CW501,循环冷却水系统,CW501A/B 冷却水泵与 CT501 冷却塔,公用工程循环水站,CW501-A005,旁滤器压差高,低,CW501_FDP,压差 > 80 kPa 持续 15 min,滤网堵塞；反洗失败；入口阀未全开；压差表堵塞,启动反洗程序；切换旁滤器支路；检查反洗排水是否畅通；维护压差取压口,压差 < 45 kPa,DOC-CW501_cooling_water_alarm_manual.docx,DOC-CW501-SEC-04,DOC-CW501-CH-005,DOC-CW501-TALARM,DOC-CW501-TALARM-R005,FDP
DOC-CW501,循环冷却水系统,CW501A/B 冷却水泵与 CT501 冷却塔,公用工程循环水站,CW501-A006,补水液位低,高,CW501_BASIN,塔盆液位 < 35% 持续 60 s,补水阀故障；补水总管压力低；排污阀未关严；泄漏,打开备用补水；检查排污阀；降低循环泵负荷防汽蚀；巡检塔盆泄漏,液位 > 50%,DOC-CW501_cooling_water_alarm_manual.docx,DOC-CW501-SEC-04,DOC-CW501-CH-006,DOC-CW501-TALARM,DOC-CW501-TALARM-R006,BASIN
DOC-CW501,循环冷却水系统,CW501A/B 冷却水泵与 CT501 冷却塔,公用工程循环水站,CW501-A007,电导率高,中,CW501_COND,电导率 > 2400 μS/cm 持续 30 min,浓缩倍数过高；排污阀未动作；补水水质异常；电导率探头污染,启动排污；确认补水水质；清洗探头；加密水质化验,电导率 < 2100 μS/cm,DOC-CW501_cooling_water_alarm_manual.docx,DOC-CW501-SEC-04,DOC-CW501-CH-007,DOC-CW501-TALARM,DOC-CW501-TALARM-R007,COND
DOC-CW501,循环冷却水系统,CW501A/B 冷却水泵与 CT501 冷却塔,公用工程循环水站,CW501-A008,加药泵故障,中,CW501_CHEM,加药泵运行反馈丢失,药箱液位低；隔膜破损；出口单向阀堵塞；电机故障,检查药箱液位；切换备用加药泵；检查出口压力；记录未加药时间,加药流量恢复,DOC-CW501_cooling_water_alarm_manual.docx,DOC-CW501-SEC-04,DOC-CW501-CH-008,DOC-CW501-TALARM,DOC-CW501-TALARM-R008,CHEM
